Date,Homicide and other related violations,Invitation to sexual touching,Sexual exploitation,Luring a child via a computer,Voyeurism,Non-consensual distribution of intimate images,Extortion,Criminal harassment,Indecent/Harassing communications,Uttering threats,Other violent violations,Fraud,Identity theft,Identity fraud,Mischief,Other non-violent violations,Fail to comply with order,Indecent acts,Child pornography,Making or distribution of child pornography,Corrupting morals,Breach of probation,Utter threats to property or animal,Offences against the person and reputation (Part VIII Criminal Code),Other Criminal Code,Other violations
20150107,0,0,0,25,2,2,22,38,47,38,2,300,7,31,7,8,3,0,12,34,0,0,1,3,3,0
20150114,0,3,0,44,1,3,29,23,41,43,2,291,7,24,0,0,4,1,23,27,1,0,1,3,5,0
20150121,0,3,0,30,2,2,31,35,45,43,2,363,8,23,2,0,2,0,3,14,0,1,1,2,1,0
20150128,0,3,0,45,3,4,18,20,42,23,2,308,6,19,2,0,6,0,50,14,0,1,2,3,2,0
20150204,0,0,0,9,1,0,3,29,7,6,1,40,1,10,0,0,6,0,44,32,1,0,1,2,0,0
20150211,0,3,0,8,2,2,5,26,8,11,0,152,4,11,1,0,4,0,53,17,1,1,0,0,3,0
20150218,0,3,0,10,1,4,3,8,15,13,2,56,2,10,2,0,3,0,64,15,1,1,0,2,1,0
20150225,0,2,0,9,1,1,8,18,3,16,1,176,5,16,1,0,2,1,37,31,0,0,2,3,1,0
20150304,0,2,1,3,2,1,14,36,28,20,0,111,4,12,1,0,5,0,34,19,1,0,1,1,2,0
20150311,0,1,0,5,1,3,18,5,26,6,1,233,0,12,4,0,2,0,50,7,0,1,0,1,4,1
20150318,0,4,0,12,0,3,15,1,15,26,2,83,4,4,4,0,3,0,58,9,0,0,1,1,4,0
20150325,0,4,0,29,2,2,26,4,50,47,1,200,4,15,6,0,3,0,2,21,0,1,0,1,3,0
20150401,0,2,1,26,2,0,20,34,33,49,1,215,5,21,6,0,3,0,49,23,0,1,1,4,2,1
20150408,0,2,1,30,0,2,15,1,36,31,0,249,7,26,0,0,0,1,58,19,0,1,1,1,3,0
20150415,0,3,0,21,1,2,22,27,34,21,2,183,5,15,1,0,2,0,19,7,0,0,2,3,1,0
20150422,0,4,0,27,0,3,19,35,28,30,1,156,5,23,7,0,2,1,3,12,0,0,2,1,2,0
20150429,0,4,0,7,1,3,17,14,39,18,1,178,4,16,5,0,2,0,27,11,0,0,1,2,4,0
20150506,0,2,0,4,1,1,2,9,7,4,1,48,0,4,4,0,6,0,30,28,0,2,0,2,5,1
20150513,0,4,0,6,0,2,13,1,22,26,0,150,3,3,4,0,1,0,55,4,1,1,0,0,2,1
20150520,0,2,0,4,2,1,9,30,5,14,1,118,0,10,1,0,1,0,31,14,0,1,0,1,1,0
20150527,0,1,0,5,2,2,6,13,18,7,1,96,1,9,2,0,1,0,37,11,1,1,1,4,3,0
20150603,0,3,0,19,3,1,11,21,12,19,1,156,4,3,5,0,4,0,51,15,0,0,1,3,3,1
20150610,0,3,0,13,1,3,12,27,21,17,1,112,1,6,1,0,1,0,56,1,0,0,0,3,2,0
20150617,0,0,0,21,2,2,10,3,3,23,2,171,2,12,1,0,4,1,31,24,0,1,1,2,2,0
20150624,0,3,0,6,2,3,5,0,6,13,2,61,1,5,6,0,4,0,2,9,1,2,1,3,1,0
20150701,0,1,0,7,1,1,1,18,9,4,0,8,5,7,2,0,5,0,47,20,1,1,1,1,1,0
20150708,0,4,0,13,3,2,8,4,10,20,2,57,0,13,6,0,2,0,20,19,0,0,2,4,3,0
20150715,0,2,1,8,0,2,9,32,14,2,2,113,1,5,6,0,3,0,47,17,0,1,1,2,0,0
20150722,0,4,0,17,2,3,17,17,15,16,2,136,3,14,3,0,2,1,45,2,1,1,1,3,1,0
20150729,0,0,0,20,1,2,16,28,20,23,1,212,7,16,3,0,1,0,27,20,0,1,0,1,3,0
20150805,0,1,0,16,1,3,19,27,25,30,0,254,6,14,0,0,2,0,49,9,1,1,1,4,4,0
20150812,0,2,0,15,1,1,12,24,37,25,2,157,5,8,3,0,6,0,38,9,0,1,2,2,5,1
20150819,0,1,0,19,3,2,18,33,30,35,1,206,6,15,2,0,0,0,19,9,0,0,1,1,0,1
20150826,0,1,0,21,1,2,16,36,30,36,2,245,4,20,3,0,0,0,25,20,1,2,1,1,2,0
20150902,0,4,1,18,3,3,7,9,28,16,1,164,3,18,7,0,2,0,60,31,0,1,0,3,3,1
20150909,0,0,0,5,1,3,5,1,10,4,1,81,2,2,5,0,4,0,31,13,0,1,1,3,4,0
20150916,0,1,0,7,1,1,0,24,11,6,1,0,0,0,4,0,5,1,36,38,1,1,0,2,5,1
20150923,0,0,0,10,2,1,8,3,8,10,2,19,1,4,4,0,5,0,26,16,0,1,0,1,1,0
20150930,0,3,1,1,1,1,7,37,2,4,1,42,0,10,4,0,4,0,15,14,1,0,1,0,4,0
20151007,0,2,0,9,1,1,4,2,12,16,1,83,2,8,4,0,2,0,17,10,0,0,0,0,4,0
20151014,0,1,0,7,1,4,11,15,33,21,2,151,2,0,4,0,4,0,52,1,0,1,0,2,1,0
20151021,0,0,0,7,2,0,10,12,4,7,1,199,1,20,3,0,5,0,2,3,0,1,1,2,3,0
20151028,0,1,1,8,1,3,8,11,2,17,0,31,3,7,6,0,7,1,61,9,1,1,0,1,4,0
20151104,0,2,0,16,1,3,15,10,30,9,1,75,0,8,3,0,1,0,31,19,0,0,1,2,3,0
20151111,0,2,0,24,1,0,8,5,25,9,2,200,1,8,6,0,5,0,18,16,1,1,1,4,4,0
20151118,0,1,0,23,0,0,11,26,30,27,2,181,8,22,1,0,1,0,28,20,0,1,0,2,2,1
20151125,0,4,2,41,1,1,25,38,54,38,2,301,7,34,2,0,4,0,51,36,1,0,2,3,5,0
20151202,0,1,0,23,0,0,20,40,21,22,1,198,6,20,4,0,0,0,54,27,1,1,1,1,3,0
20151209,0,2,0,26,0,0,26,1,37,51,0,270,5,13,1,0,4,1,22,11,1,1,0,4,1,0
20151216,0,2,0,11,1,3,23,41,27,31,2,234,8,8,1,0,1,0,37,7,0,2,1,3,4,0
20151223,0,2,0,27,1,2,25,27,40,53,1,267,7,29,7,0,0,0,7,3,0,0,1,4,5,0
20151231,0,4,6,33,1,1,27,22,47,43,6,339,8,32,0,0,7,1,9,33,1,2,4,3,6,5
20160107,0,3,0,18,2,8,16,5,31,22,3,212,5,16,5,0,1,1,26,2,0,3,0,2,2,0
20160114,0,4,0,19,0,11,15,33,23,12,3,195,4,16,1,0,9,1,8,88,1,2,1,2,0,1
20160121,0,0,0,12,2,6,11,29,31,15,1,222,6,16,5,0,4,0,43,78,1,2,1,2,2,1
20160128,0,1,0,18,1,1,16,31,32,38,2,206,7,16,5,0,5,1,52,81,0,0,0,1,0,1
20160204,0,1,2,17,2,1,9,33,27,19,1,174,5,17,4,0,7,1,13,82,1,0,0,1,1,0
20160211,0,2,0,15,1,10,5,18,18,12,0,69,4,1,5,11,2,0,26,22,0,2,1,0,0,0
20160218,0,1,0,5,1,11,1,7,6,0,1,48,0,0,1,16,6,0,52,28,0,1,0,2,2,1
20160225,0,1,0,4,2,7,8,30,3,3,3,116,0,7,4,0,9,0,21,12,1,3,0,3,2,1
20160303,0,0,0,0,1,4,3,24,9,9,1,2,0,1,4,0,4,0,22,14,1,1,0,3,2,1
20160310,0,1,0,19,1,1,9,6,11,19,5,170,1,14,4,0,3,1,7,42,1,2,0,1,3,0
20160317,0,3,0,15,2,6,5,29,21,23,1,129,2,9,2,0,10,1,23,1,0,1,0,2,2,1
20160324,0,2,0,15,1,5,13,29,13,16,2,135,5,12,0,0,5,1,5,51,1,1,1,3,3,1
20160331,0,0,0,14,1,11,12,7,29,20,1,74,1,4,1,0,9,1,8,77,0,1,1,0,1,0
20160407,0,2,1,8,2,2,1,36,18,20,3,83,3,14,5,0,1,0,52,24,1,2,2,1,0,1
20160414,0,1,0,6,1,2,3,5,11,19,2,258,3,3,1,0,3,0,1,47,1,0,0,1,2,0
20160421,0,0,1,9,1,4,10,16,13,3,1,172,3,5,1,0,3,1,21,23,1,3,0,0,3,0
20160428,0,3,0,21,2,0,9,3,29,5,2,102,4,21,3,0,8,0,52,12,0,2,2,2,1,0
20160505,0,2,0,3,2,1,6,1,19,16,4,204,2,11,5,0,3,0,17,100,0,1,0,0,2,1
20160512,0,0,0,10,1,9,20,3,12,24,4,192,2,16,2,0,8,0,30,72,1,3,1,1,4,1
20160519,0,4,0,19,1,8,8,15,25,23,4,147,5,5,0,0,2,0,38,46,0,0,1,1,1,0
20160526,0,1,0,32,2,7,24,15,54,15,0,163,0,17,4,0,1,0,24,51,0,0,1,1,2,1
20160602,0,0,0,26,2,6,15,30,28,39,2,85,5,14,2,0,9,1,16,66,1,1,1,2,1,1
20160609,0,0,0,14,1,4,14,1,31,28,4,75,5,3,2,0,7,0,1,62,1,2,1,2,0,1
20160616,0,1,1,21,0,7,14,10,2,16,5,125,8,17,1,0,0,0,45,96,1,1,0,0,0,1
20160623,0,3,1,47,1,6,32,2,73,51,2,471,9,32,2,0,10,0,41,26,1,2,1,2,2,1
20160630,0,2,0,39,0,4,28,23,68,54,5,550,11,33,3,0,1,0,36,25,0,2,1,0,2,0
20160707,0,3,0,69,2,7,34,39,77,79,5,788,11,34,1,0,5,0,5,103,0,0,2,3,2,1
20160714,0,2,1,52,1,3,22,5,51,38,0,161,4,27,3,0,4,0,27,61,1,2,1,0,2,1
20160721,0,2,0,36,2,9,32,13,49,73,1,400,8,25,3,0,4,1,52,66,1,2,2,2,3,0
20160728,0,2,0,23,0,5,25,15,28,22,5,234,11,24,5,0,2,0,1,92,1,0,1,3,2,0
20160804,0,2,0,18,1,8,26,25,70,21,3,478,9,21,3,0,4,0,48,51,1,0,1,2,1,1
20160811,0,2,1,30,1,1,29,34,52,38,3,195,8,29,3,0,3,0,16,75,1,2,2,1,2,1
20160818,0,3,0,43,0,4,32,37,60,32,3,447,6,18,4,0,5,1,6,44,1,1,0,3,2,0
20160825,0,1,0,13,0,8,4,18,15,23,1,4,4,3,5,0,6,0,15,69,0,2,0,3,3,1
20160901,0,2,0,18,0,3,4,18,2,22,3,29,4,15,5,0,3,0,41,60,1,1,1,1,2,1
20160908,0,0,0,13,1,2,2,40,6,16,4,226,3,18,1,0,1,0,51,4,1,0,1,1,1,1
20160915,0,0,1,5,1,10,16,19,18,22,3,124,3,7,1,0,2,1,4,67,0,1,1,3,3,1
20160922,0,0,0,3,1,3,9,12,32,5,3,199,5,15,2,0,2,1,23,67,1,0,1,0,1,0
20160929,0,3,0,18,0,2,10,13,49,26,0,217,4,18,3,0,6,0,5,60,0,0,0,3,2,0
20161006,0,0,0,13,1,5,2,12,25,3,2,101,4,4,4,0,0,1,15,34,1,1,2,1,3,0
20161013,0,1,0,6,1,5,7,2,4,11,5,38,2,5,4,0,2,0,4,110,1,1,1,1,1,1
20161020,0,1,0,4,1,4,9,31,45,43,5,164,0,0,0,0,3,0,14,112,0,1,1,3,0,0
20161027,0,2,0,10,1,12,1,40,2,18,5,212,4,3,4,0,4,0,24,8,1,0,2,0,1,0
20161103,0,1,0,24,2,7,0,18,6,12,5,100,8,32,0,0,3,0,18,83,0,3,1,3,2,1
20161110,0,1,0,19,0,6,18,27,9,20,0,251,4,3,1,0,7,0,2,99,0,0,2,0,2,1
20161117,0,1,1,44,2,2,15,8,57,23,4,117,2,16,5,0,4,1,36,110,1,1,2,3,1,0
20161124,0,3,0,14,1,8,25,37,50,30,2,342,9,19,5,0,2,0,26,84,1,3,1,1,3,0
20161201,0,0,0,37,0,9,26,19,71,38,4,432,8,33,5,0,0,1,33,28,1,1,1,0,2,1
20161208,0,1,0,46,0,9,37,31,70,41,3,344,10,29,4,0,8,0,34,59,1,2,1,3,3,1
20161215,0,1,1,35,1,3,39,39,42,54,4,488,9,33,3,0,8,0,16,9,1,0,1,3,3,1
20161222,0,1,0,33,1,9,27,32,66,55,5,506,10,38,4,0,0,0,46,60,1,2,1,3,3,0
20161231,0,4,3,56,4,9,39,33,62,70,9,407,10,39,6,0,7,2,36,43,0,4,3,8,5,4
20170107,0,2,0,5,1,8,2,7,3,1,3,46,0,1,6,0,11,0,3,11,1,1,1,0,1,0
20170114,0,3,0,2,2,10,4,18,1,11,5,43,1,7,6,0,6,1,6,105,1,2,0,2,3,0
20170121,0,4,0,1,1,2,6,1,6,11,3,107,3,7,3,0,3,1,4,43,0,2,1,0,0,0
20170128,0,0,0,7,3,13,3,28,16,9,6,1,2,1,3,0,4,1,5,99,0,1,1,3,1,0
20170204,0,4,0,3,2,11,5,52,3,5,1,27,1,3,1,0,9,1,28,42,0,1,1,2,1,0
20170211,0,4,1,6,1,9,9,5,28,14,1,91,2,9,5,0,11,1,21,56,1,3,0,1,1,0
20170218,0,3,0,8,0,10,6,11,13,11,2,50,1,10,4,0,11,0,14,85,0,2,0,1,1,0
20170225,0,3,0,13,2,9,8,2,19,19,5,139,3,14,5,0,7,0,35,112,1,2,0,1,1,0
20170304,0,1,0,11,1,2,7,16,28,10,1,179,1,6,3,0,6,0,33,19,0,1,1,2,0,1
20170311,1,0,0,9,0,18,10,11,23,21,2,147,4,7,1,0,12,1,33,25,0,1,0,2,3,0
20170318,0,2,0,12,1,1,10,48,19,21,3,162,3,15,1,0,2,1,20,6,1,0,1,1,4,1
20170325,0,4,0,17,1,7,11,31,38,21,5,181,4,17,0,0,6,0,17,75,0,1,2,2,0,0
20170401,0,4,0,19,2,8,9,4,33,13,2,169,3,12,0,0,3,1,39,0,0,1,1,1,0,0
20170408,0,4,1,14,3,8,8,34,36,5,2,90,0,3,5,0,10,0,19,110,1,2,1,1,3,0
20170415,0,2,1,15,1,0,12,15,15,19,4,139,2,9,2,0,11,0,7,2,0,1,1,1,4,0
20170422,0,0,0,3,1,6,9,28,22,28,0,87,1,11,4,0,1,0,26,85,1,0,2,3,2,0
20170429,0,1,0,17,2,1,8,44,15,5,0,27,3,9,0,0,6,0,16,33,1,1,1,2,0,0
20170506,0,4,0,15,2,8,4,14,23,22,6,41,2,7,4,0,8,1,1,23,1,1,0,2,0,0
20170513,0,1,0,10,2,10,12,11,23,21,0,148,1,9,6,0,9,1,16,101,0,1,1,0,4,0
20170520,0,1,0,7,2,17,13,26,43,11,4,105,4,21,2,0,3,0,38,83,1,0,2,2,4,0
20170527,0,4,0,17,2,14,20,32,32,8,5,171,6,7,6,0,9,0,18,46,0,2,1,0,4,0
20170603,0,1,0,23,3,1,13,25,45,24,2,144,4,20,3,0,12,1,6,23,0,2,0,3,4,0
20170610,0,2,0,16,1,16,16,28,54,39,7,340,9,30,5,0,11,0,33,35,1,2,0,1,2,1
20170617,0,0,0,24,1,14,17,35,52,39,4,413,4,31,6,0,4,0,8,15,1,1,1,0,1,0
20170624,0,2,0,33,3,13,24,24,47,56,8,488,9,27,0,0,7,0,17,89,0,0,1,3,0,0
20170701,0,4,0,32,0,8,22,1,53,57,2,492,11,32,2,0,2,0,35,17,0,0,1,2,3,1
